ID	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC1	HC21	HC22	HC23	HC24	HC25	HC2	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient3	Patient40	Patient44	Patient47	Patient49	Patient4	Patient50	Patient51	Patient52	Patient5	Patient6	Patient7	Patient8	Patient9	KEGG_Pathways
Primary bile acid biosynthesis	11736.0	14711.0	8369.0	19198.0	24022.0	36667.0	26919.0	32607.0	15327.0	24337.0	30889.0	22424.0	57681.0	17444.0	26893.0	20072.0	32401.0	66582.0	23495.0	19451.0	23966.0	18314.0	23822.0	20162.0	31543.0	18804.0	23769.0	47668.0	28369.0	25577.0	22315.0	14367.0	22080.0	12810.0	30189.0	19418.0	22431.0	20937.0	27873.0	27009.0	19434.0	13415.0	26084.0	34139.0	13998.0	15868.0	19719.0	18370.0	18776.0	14352.0	26284.0	27131.0	22778.0	37555.0	20238.0	8210.0	18919.0	19589.0	22819.0	22692.0	Metabolism; Lipid Metabolism; Primary bile acid biosynthesis
Primary immunodeficiency	19650.0	15042.0	20857.0	15593.0	22206.0	33000.0	25045.0	26839.0	11988.0	18234.0	30960.0	26658.0	42874.0	22461.0	18214.0	20949.0	27170.0	43497.0	28212.0	19845.0	31176.0	19284.0	12913.0	19440.0	17295.0	19907.0	40618.0	36782.0	29559.0	5424.0	23618.0	46895.0	12319.0	45892.0	19830.0	25807.0	19799.0	17622.0	28648.0	32380.0	32818.0	17590.0	43242.0	26770.0	23383.0	36213.0	14724.0	23507.0	25836.0	19139.0	24109.0	27674.0	18741.0	30868.0	28476.0	15066.0	16938.0	17856.0	31058.0	20089.0	Human Diseases; Immune System Diseases; Primary immunodeficiency
Prion diseases	534.0	855.0	2261.0	1770.0	1210.0	1526.0	1245.0	630.0	1004.0	330.0	2642.0	1344.0	1068.0	539.0	768.0	1484.0	1810.0	2729.0	3390.0	3387.0	7068.0	1374.0	3038.0	2378.0	775.0	939.0	1802.0	989.0	5697.0	586.0	1439.0	18009.0	877.0	17155.0	2992.0	3595.0	1066.0	5067.0	5634.0	3112.0	11521.0	3495.0	18434.0	890.0	7913.0	6275.0	1793.0	2746.0	839.0	2433.0	2630.0	4491.0	989.0	1320.0	7263.0	6876.0	2936.0	938.0	6071.0	954.0	Human Diseases; Neurodegenerative Diseases; Prion diseases
Progesterone-mediated oocyte maturation	18166.0	14947.0	15775.0	18871.0	21759.0	31962.0	22989.0	21410.0	16349.0	15486.0	24340.0	24221.0	42949.0	21546.0	24298.0	20711.0	26775.0	42607.0	23167.0	21780.0	27618.0	13150.0	20686.0	24859.0	21697.0	19495.0	7011.0	29008.0	18961.0	28784.0	6908.0	23995.0	16161.0	26588.0	7294.0	20753.0	18588.0	17182.0	22019.0	21759.0	24058.0	15646.0	22073.0	26646.0	11110.0	18561.0	15720.0	15593.0	10589.0	13877.0	20212.0	14523.0	21393.0	27641.0	16670.0	7696.0	15836.0	18649.0	16513.0	10520.0	Organismal Systems; Endocrine System; Progesterone-mediated oocyte maturation
Propanoate metabolism	155508.0	179477.0	196751.0	212110.0	233638.0	281718.0	249574.0	245058.0	164459.0	147555.0	276940.0	253781.0	411100.0	238229.0	247490.0	251274.0	283594.0	413558.0	313028.0	287234.0	326512.0	201076.0	267072.0	263397.0	233510.0	211574.0	210536.0	305151.0	331475.0	341351.0	198844.0	702497.0	161489.0	758368.0	214674.0	295568.0	241329.0	282658.0	311641.0	260969.0	485841.0	222212.0	336002.0	357696.0	269046.0	325689.0	217382.0	240508.0	200404.0	175107.0	282616.0	254388.0	251488.0	283353.0	259046.0	196598.0	231672.0	221262.0	336544.0	212120.0	Metabolism; Carbohydrate Metabolism; Propanoate metabolism
Prostate cancer	18305.0	15093.0	16103.0	20984.0	22371.0	32233.0	23317.0	21817.0	16456.0	15773.0	24611.0	24393.0	43139.0	21672.0	25387.0	22716.0	26899.0	43035.0	23639.0	22026.0	28464.0	13333.0	21040.0	24999.0	21815.0	20481.0	7075.0	29064.0	18993.0	29093.0	6931.0	27813.0	17637.0	26744.0	7618.0	20863.0	18887.0	17408.0	22886.0	21871.0	24231.0	15913.0	22079.0	26710.0	11123.0	18585.0	16173.0	15636.0	11173.0	14265.0	20524.0	14832.0	21806.0	28282.0	16684.0	7701.0	17008.0	19199.0	16769.0	10637.0	Human Diseases; Cancers; Prostate cancer
Proteasome	18680.0	18942.0	16798.0	21425.0	27047.0	32071.0	26464.0	33371.0	16524.0	17763.0	28436.0	25343.0	45199.0	22325.0	26122.0	24729.0	28243.0	43964.0	24793.0	22552.0	28471.0	27477.0	23028.0	25778.0	26839.0	23264.0	39944.0	36934.0	38209.0	29381.0	37487.0	25044.0	21146.0	30395.0	29642.0	28117.0	31005.0	21200.0	22870.0	30223.0	26241.0	21244.0	28624.0	37907.0	12961.0	28014.0	24628.0	21020.0	30177.0	17797.0	27922.0	37045.0	25919.0	33186.0	28014.0	8144.0	18251.0	24221.0	29770.0	32532.0	Genetic Information Processing; Folding, Sorting and Degradation; Proteasome
Protein digestion and absorption	13577.0	3600.0	8076.0	7939.0	8359.0	14954.0	7914.0	10986.0	3299.0	3618.0	8668.0	9791.0	3370.0	7020.0	3381.0	9673.0	2641.0	3673.0	3949.0	1465.0	2332.0	9607.0	2865.0	1701.0	5060.0	8414.0	17009.0	4837.0	9871.0	671.0	15555.0	11427.0	5570.0	2644.0	12138.0	5213.0	7830.0	4621.0	7718.0	9262.0	2227.0	5721.0	5040.0	6139.0	5426.0	6920.0	5214.0	4700.0	12298.0	5907.0	5390.0	14324.0	6677.0	11417.0	5846.0	1481.0	4266.0	8693.0	8986.0	11360.0	Organismal Systems; Digestive System; Protein digestion and absorption
Protein export	251382.0	228915.0	252316.0	280033.0	307785.0	394464.0	305831.0	331115.0	211763.0	205542.0	350419.0	321001.0	478305.0	296434.0	336338.0	288689.0	354459.0	534905.0	338978.0	293327.0	399789.0	266447.0	298851.0	331723.0	311272.0	268855.0	255569.0	400538.0	362594.0	377550.0	249572.0	420603.0	210950.0	480769.0	222487.0	326330.0	302142.0	257776.0	285290.0	285909.0	367091.0	245621.0	361795.0	408674.0	211216.0	318297.0	269998.0	300961.0	238899.0	205822.0	303331.0	321779.0	297290.0	351172.0	294294.0	131008.0	244480.0	280331.0	320568.0	254235.0	Genetic Information Processing; Folding, Sorting and Degradation; Protein export
Protein folding and associated processing	253574.0	216974.0	244572.0	280320.0	277600.0	347674.0	314752.0	310888.0	199737.0	168059.0	325966.0	303104.0	397536.0	289117.0	300667.0	309705.0	307355.0	438098.0	342476.0	359869.0	448847.0	288038.0	322336.0	327724.0	289791.0	254024.0	268098.0	330489.0	437489.0	363882.0	301185.0	832028.0	211006.0	879187.0	284782.0	353151.0	294473.0	365951.0	346954.0	283474.0	568105.0	284221.0	411352.0	415555.0	323698.0	394067.0	278103.0	316263.0	242800.0	225498.0	312343.0	348620.0	287625.0	317816.0	319286.0	231902.0	291317.0	259404.0	408269.0	296760.0	Unclassified; Genetic Information Processing; Protein folding and associated processing
Protein kinases	108771.0	117320.0	104354.0	132274.0	158373.0	217495.0	171814.0	184153.0	116583.0	128125.0	191723.0	140794.0	307199.0	114692.0	176746.0	143590.0	211404.0	360551.0	208096.0	193569.0	236321.0	144791.0	185150.0	180636.0	183879.0	127727.0	144238.0	256778.0	241527.0	190837.0	153011.0	514259.0	109608.0	546304.0	139087.0	192735.0	157583.0	183264.0	222932.0	174876.0	362941.0	152673.0	245838.0	187939.0	198282.0	206308.0	144726.0	152342.0	124392.0	125984.0	205171.0	181681.0	165247.0	203260.0	155972.0	146872.0	165527.0	135509.0	245163.0	144511.0	Metabolism; Enzyme Families; Protein kinases
Protein processing in endoplasmic reticulum	28743.0	20142.0	21856.0	31485.0	28933.0	41048.0	35024.0	26953.0	22216.0	18211.0	30861.0	40374.0	46650.0	41601.0	29742.0	30210.0	31188.0	48085.0	29013.0	26472.0	32041.0	17576.0	35442.0	30543.0	34693.0	27564.0	9839.0	32104.0	25645.0	53483.0	10342.0	31885.0	24673.0	32734.0	21789.0	24309.0	25078.0	32139.0	30085.0	27569.0	27604.0	21195.0	26009.0	41663.0	17102.0	24754.0	26865.0	30382.0	17982.0	18120.0	24723.0	22919.0	29905.0	37405.0	25393.0	9694.0	23529.0	29691.0	23587.0	17513.0	Genetic Information Processing; Folding, Sorting and Degradation; Protein processing in endoplasmic reticulum
Proximal tubule bicarbonate reclamation	4430.0	6446.0	3745.0	11510.0	6940.0	2214.0	14508.0	4513.0	4976.0	2629.0	4191.0	8814.0	19669.0	1844.0	6387.0	9403.0	5737.0	5962.0	14759.0	14589.0	5851.0	4902.0	17212.0	6202.0	12322.0	8857.0	2464.0	2931.0	7880.0	29297.0	4180.0	52941.0	9122.0	53315.0	5523.0	9528.0	9556.0	23114.0	16624.0	15456.0	25480.0	7465.0	7021.0	14383.0	11186.0	9832.0	11152.0	7368.0	6336.0	6373.0	10456.0	7836.0	9903.0	15941.0	1837.0	7637.0	10905.0	10367.0	13472.0	6381.0	Organismal Systems; Excretory System; Proximal tubule bicarbonate reclamation
Purine metabolism	950658.0	833264.0	911927.0	1006608.0	1109324.0	1444718.0	1157468.0	1249810.0	761827.0	734475.0	1277455.0	1094645.0	1701833.0	1007444.0	1175187.0	1069892.0	1264648.0	1901120.0	1228239.0	1109675.0	1498574.0	1037280.0	1135878.0	1216809.0	1171973.0	954990.0	1223453.0	1496164.0	1468605.0	1373947.0	1120346.0	1911608.0	807803.0	2168947.0	975751.0	1295458.0	1123365.0	1018782.0	1123472.0	1103682.0	1534905.0	956321.0	1455355.0	1540375.0	908838.0	1264009.0	1060923.0	1150989.0	1035982.0	787997.0	1195990.0	1302026.0	1079395.0	1279898.0	1133284.0	588488.0	937689.0	1012840.0	1338770.0	1059358.0	Metabolism; Nucleotide Metabolism; Purine metabolism
Pyrimidine metabolism	813942.0	713076.0	781122.0	873583.0	942108.0	1231308.0	971853.0	1035167.0	657273.0	612633.0	1062550.0	952510.0	1519609.0	863821.0	1029951.0	891428.0	1074091.0	1594474.0	1051127.0	916862.0	1222490.0	847643.0	963823.0	1051820.0	991453.0	818637.0	903358.0	1244297.0	1178127.0	1155975.0	863629.0	1312081.0	715419.0	1557710.0	761306.0	1070506.0	963850.0	761380.0	889761.0	948934.0	1140646.0	774711.0	1170043.0	1230655.0	647945.0	991957.0	889596.0	931628.0	813135.0	639548.0	988697.0	1035503.0	924272.0	1113265.0	929912.0	396786.0	757526.0	860063.0	1048013.0	839971.0	Metabolism; Nucleotide Metabolism; Pyrimidine metabolism
