ID	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC1	HC21	HC22	HC23	HC24	HC25	HC2	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient3	Patient40	Patient44	Patient47	Patient49	Patient4	Patient50	Patient51	Patient52	Patient5	Patient6	Patient7	Patient8	Patient9	KEGG_Pathways
Amino Acid Metabolism	3734339.0	3709969.0	3708552.0	4537103.0	5152808.0	6379557.0	5323681.0	5678672.0	3440611.0	3508425.0	5667160.0	5214352.0	8626621.0	4615201.0	5470431.0	4787212.0	5931001.0	9246946.0	5703562.0	5206386.0	6543315.0	4448077.0	5013552.0	5552734.0	5185323.0	4445701.0	5055549.0	7119221.0	6622070.0	6208496.0	4533400.0	9625673.0	3621815.0	10592975.0	4047267.0	5856074.0	5065925.0	4732866.0	5204639.0	5199334.0	7396825.0	4207824.0	6031866.0	6630465.0	3745326.0	5694086.0	4485513.0	4881579.0	4379786.0	3572930.0	5541654.0	5434429.0	4998944.0	6152146.0	4943148.0	2493475.0	4108547.0	4568237.0	5983296.0	4467896.0	Metabolism; Amino Acid Metabolism
Biosynthesis of Other Secondary Metabolites	372779.0	355472.0	342088.0	473688.0	578362.0	748878.0	555613.0	624377.0	363084.0	440140.0	634981.0	546868.0	942309.0	497779.0	601079.0	474407.0	650166.0	1148907.0	584132.0	515429.0	626348.0	448762.0	485778.0	527783.0	604085.0	476586.0	644374.0	857850.0	622234.0	545211.0	450070.0	917745.0	402566.0	974875.0	384746.0	559848.0	492044.0	443953.0	505784.0	524209.0	696507.0	419845.0	496158.0	666385.0	304283.0	574023.0	444897.0	480704.0	505255.0	357787.0	597656.0	514299.0	505597.0	688909.0	447291.0	185970.0	410954.0	482997.0	617376.0	430428.0	Metabolism; Biosynthesis of Other Secondary Metabolites
Cancers	41862.0	35354.0	36354.0	43208.0	48069.0	65550.0	52176.0	44692.0	36418.0	32794.0	53452.0	50855.0	88571.0	44662.0	53792.0	48166.0	58071.0	88161.0	56018.0	54033.0	63370.0	31553.0	49873.0	54157.0	47413.0	43571.0	17513.0	59256.0	48896.0	65118.0	18493.0	106878.0	36867.0	107777.0	23206.0	49060.0	41461.0	54596.0	62100.0	48288.0	81407.0	42096.0	56729.0	55129.0	45782.0	50514.0	37526.0	50221.0	25133.0	34568.0	48366.0	34251.0	47969.0	58557.0	36004.0	35820.0	45719.0	42562.0	46190.0	25747.0	Human Diseases; Cancers
Carbohydrate Metabolism	3801419.0	3971493.0	4164531.0	5173547.0	5763198.0	7190382.0	5919357.0	6151029.0	3843376.0	3928480.0	6511350.0	5950490.0	9832776.0	5145595.0	6088719.0	5453056.0	6652813.0	10594086.0	6845110.0	6422571.0	7452559.0	4862335.0	5987152.0	5994683.0	6096436.0	5009784.0	5283770.0	7876572.0	7351580.0	7192799.0	4697082.0	12839405.0	4139965.0	13971075.0	4352884.0	6394229.0	5577460.0	5060708.0	5965766.0	5951413.0	9039245.0	4641807.0	7254608.0	8280876.0	4250302.0	6937248.0	4988733.0	5193985.0	4590453.0	3844708.0	6128950.0	5978067.0	5482519.0	7063620.0	5590016.0	2716070.0	4688398.0	5158229.0	7120770.0	4749160.0	Metabolism; Carbohydrate Metabolism
Cardiovascular Diseases	19.0	65.0	99.0	54.0	64.0	74.0	83.0	59.0	88.0	6.0	206.0	88.0	164.0	85.0	120.0	126.0	186.0	66.0	121.0	52.0	322.0	199.0	210.0	306.0	284.0	252.0	302.0	55.0	251.0	172.0	101.0	118.0	107.0	123.0	135.0	128.0	199.0	162.0	111.0	125.0	80.0	56.0	102.0	88.0	183.0	272.0	217.0	180.0	80.0	26.0	150.0	188.0	186.0	105.0	112.0	94.0	182.0	218.0	211.0	208.0	Human Diseases; Cardiovascular Diseases
Cell Communication	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	12.0	0.0	6.0	0.0	0.0	3.0	3.0	0.0	9.0	0.0	9.0	3.0	3.0	9.0	9.0	6.0	9.0	3.0	6.0	3.0	6.0	6.0	3.0	3.0	6.0	0.0	12.0	9.0	6.0	3.0	3.0	0.0	3.0	3.0	3.0	9.0	6.0	6.0	3.0	0.0	6.0	3.0	0.0	0.0	3.0	0.0	9.0	6.0	9.0	10.0	Cellular Processes; Cell Communication
Cell Growth and Death	215712.0	190900.0	224012.0	235258.0	260341.0	347463.0	272451.0	290757.0	183687.0	168684.0	301163.0	286508.0	441542.0	272906.0	286176.0	250749.0	303649.0	457430.0	282878.0	248555.0	357246.0	227710.0	243162.0	304669.0	262883.0	232679.0	244307.0	350002.0	320075.0	291415.0	219402.0	293104.0	190342.0	365808.0	200361.0	294859.0	259298.0	224894.0	239872.0	267232.0	282680.0	205101.0	323050.0	325006.0	158463.0	274100.0	230872.0	274562.0	216725.0	171480.0	260944.0	276356.0	259885.0	308969.0	269030.0	96161.0	198420.0	230723.0	272699.0	228580.0	Cellular Processes; Cell Growth and Death
Cell Motility	1054581.0	937783.0	616351.0	665768.0	1250481.0	2581067.0	1326340.0	1578268.0	1029893.0	1742966.0	1779256.0	1539672.0	4068225.0	1819441.0	1746525.0	927850.0	2339697.0	4777380.0	1450155.0	892590.0	1005473.0	731035.0	898271.0	899718.0	1200290.0	912168.0	441806.0	2989057.0	1106191.0	845070.0	517432.0	1242003.0	496910.0	1416820.0	562235.0	1067101.0	928265.0	921662.0	1893128.0	1471892.0	1797254.0	839004.0	1058485.0	596882.0	1125710.0	874356.0	663792.0	1512266.0	664812.0	945379.0	1445510.0	713300.0	1570365.0	2051601.0	1022615.0	900271.0	1093823.0	821574.0	1184937.0	700736.0	Cellular Processes; Cell Motility
Cellular Processes and Signaling	1683393.0	1521925.0	1576541.0	1882573.0	2156169.0	2844217.0	2162525.0	2193361.0	1489552.0	1540743.0	2333000.0	2089070.0	3524432.0	1824970.0	2353363.0	1941490.0	2548280.0	4093532.0	2496190.0	2244902.0	2893111.0	1677120.0	2169355.0	2330865.0	2092753.0	1812427.0	1476117.0	2934297.0	2733895.0	2491980.0	1432893.0	5828889.0	1432000.0	5973821.0	1440832.0	2448142.0	1873550.0	2154836.0	2610712.0	2015101.0	4074953.0	1871118.0	2843866.0	2104889.0	2139515.0	2457742.0	1708191.0	2027502.0	1455496.0	1599850.0	2365783.0	1977416.0	2046682.0	2525560.0	1869223.0	1573720.0	1953477.0	1803638.0	2589533.0	1428160.0	Unclassified; Cellular Processes and Signaling
Circulatory System	83.0	141.0	315.0	168.0	173.0	183.0	257.0	167.0	296.0	22.0	576.0	248.0	528.0	252.0	321.0	364.0	846.0	212.0	316.0	195.0	906.0	455.0	512.0	1182.0	1199.0	1416.0	1258.0	148.0	935.0	607.0	303.0	297.0	282.0	471.0	419.0	361.0	611.0	3707.0	420.0	380.0	218.0	211.0	263.0	232.0	521.0	778.0	630.0	558.0	230.0	119.0	387.0	609.0	534.0	299.0	324.0	555.0	502.0	539.0	580.0	582.0	Organismal Systems; Circulatory System
