ID	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC1	HC21	HC22	HC23	HC24	HC25	HC2	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient3	Patient40	Patient44	Patient47	Patient49	Patient4	Patient50	Patient51	Patient52	Patient5	Patient6	Patient7	Patient8	Patient9	KEGG_Pathways
Digestive System	28200.0	9216.0	20102.0	16022.0	17421.0	42745.0	13865.0	20844.0	11847.0	14076.0	24887.0	22603.0	38152.0	26271.0	13971.0	18109.0	17690.0	34609.0	18656.0	15896.0	6690.0	14334.0	22744.0	5648.0	20719.0	17754.0	19073.0	21578.0	19901.0	40484.0	19829.0	45215.0	10564.0	40215.0	18733.0	10741.0	18666.0	13435.0	24995.0	24447.0	26068.0	13389.0	15110.0	44018.0	14008.0	18529.0	15780.0	15048.0	17564.0	9919.0	15352.0	26332.0	17066.0	28328.0	12365.0	8323.0	15361.0	20976.0	23176.0	16880.0	Organismal Systems; Digestive System
Endocrine System	126811.0	120448.0	114790.0	169443.0	178278.0	177207.0	178313.0	180067.0	102868.0	97241.0	161307.0	173015.0	269748.0	129233.0	167781.0	161090.0	158783.0	224609.0	175909.0	143743.0	192763.0	160738.0	180060.0	169855.0	182870.0	166901.0	193272.0	193595.0	211145.0	259034.0	191354.0	212035.0	133378.0	221629.0	159082.0	168335.0	197866.0	156309.0	162267.0	195478.0	179289.0	137432.0	171743.0	246354.0	107319.0	164887.0	167574.0	140261.0	166916.0	119202.0	160618.0	217245.0	165072.0	216435.0	142812.0	68309.0	130604.0	176967.0	173249.0	170561.0	Organismal Systems; Endocrine System
Energy Metabolism	2285339.0	2090394.0	2278172.0	2582941.0	3002658.0	4020044.0	3080121.0	3231208.0	2059665.0	2061921.0	3396979.0	3035642.0	5163405.0	2653106.0	3256695.0	2750469.0	3537220.0	5601481.0	3317446.0	2894650.0	4139320.0	2426294.0	2698079.0	3274114.0	2891795.0	2552832.0	2551826.0	4171102.0	3611919.0	2988892.0	2247167.0	5425846.0	2036212.0	5883597.0	2044645.0	3343699.0	2750592.0	2655743.0	3140941.0	3018024.0	4210363.0	2404906.0	3708262.0	3154081.0	2253212.0	3208226.0	2373423.0	2744559.0	2288952.0	2029341.0	3156541.0	2892793.0	2914702.0	3622319.0	2779672.0	1516378.0	2368836.0	2535893.0	3286070.0	2301973.0	Metabolism; Energy Metabolism
Environmental Adaptation	77805.0	66979.0	59969.0	67324.0	90295.0	144613.0	98856.0	100179.0	66556.0	84198.0	109738.0	96529.0	189854.0	100416.0	109493.0	77160.0	130986.0	226185.0	97679.0	83173.0	103190.0	60518.0	79068.0	93749.0	89364.0	70599.0	43888.0	159690.0	90080.0	97813.0	41238.0	103609.0	52293.0	132353.0	38828.0	90862.0	73474.0	65687.0	88335.0	80524.0	107597.0	60617.0	92543.0	94481.0	47161.0	78360.0	63811.0	93741.0	52646.0	58938.0	95121.0	66391.0	92559.0	112902.0	76309.0	30983.0	65233.0	69363.0	85332.0	54268.0	Organismal Systems; Environmental Adaptation
Enzyme Families	926256.0	841249.0	885335.0	1017111.0	1160263.0	1558861.0	1173008.0	1274523.0	801192.0	819706.0	1328064.0	1069542.0	1938336.0	913930.0	1245692.0	1064881.0	1374607.0	2166131.0	1311437.0	1189350.0	1517519.0	1000982.0	1128051.0	1236467.0	1183299.0	982772.0	1118102.0	1627748.0	1482433.0	1306129.0	1012541.0	2238381.0	800604.0	2471458.0	878885.0	1293528.0	1120964.0	1002063.0	1190838.0	1148313.0	1717558.0	964305.0	1435223.0	1447103.0	886635.0	1298951.0	1001015.0	1034792.0	956582.0	810398.0	1245439.0	1220942.0	1118311.0	1391686.0	1062959.0	591851.0	950456.0	1005414.0	1381285.0	985566.0	Metabolism; Enzyme Families
Excretory System	4431.0	6448.0	3745.0	11515.0	6940.0	2214.0	14510.0	4518.0	4979.0	2629.0	4201.0	8821.0	19671.0	1846.0	6388.0	9406.0	5739.0	5964.0	14762.0	14590.0	5856.0	4905.0	17220.0	6208.0	12325.0	8864.0	2472.0	2933.0	7882.0	29302.0	4181.0	52945.0	9128.0	53320.0	5525.0	9529.0	9560.0	23117.0	16626.0	15459.0	25481.0	7467.0	7023.0	14385.0	11195.0	9840.0	11156.0	7374.0	6337.0	6373.0	10462.0	7844.0	9905.0	15946.0	1841.0	7638.0	10909.0	10369.0	13482.0	6387.0	Organismal Systems; Excretory System
Folding, Sorting and Degradation	1035993.0	900733.0	982329.0	1116237.0	1267430.0	1685051.0	1296260.0	1350656.0	867261.0	874000.0	1420722.0	1290153.0	2080383.0	1161232.0	1378551.0	1171602.0	1457216.0	2289831.0	1411556.0	1262370.0	1646487.0	1052558.0	1205841.0	1355733.0	1268805.0	1103253.0	1012884.0	1689536.0	1545276.0	1448134.0	969313.0	2331837.0	874230.0	2493016.0	935552.0	1372429.0	1190221.0	1210652.0	1355340.0	1212423.0	1843252.0	1050996.0	1543607.0	1515057.0	1043203.0	1316681.0	1044857.0	1142755.0	937192.0	889619.0	1308840.0	1243433.0	1215386.0	1506255.0	1131924.0	705957.0	1059695.0	1112971.0	1387919.0	992618.0	Genetic Information Processing; Folding, Sorting and Degradation
Genetic Information Processing	1086802.0	1021419.0	1061978.0	1236572.0	1315928.0	1667354.0	1426088.0	1438331.0	960707.0	883238.0	1472332.0	1405785.0	2227518.0	1330777.0	1463237.0	1293530.0	1551808.0	2346367.0	1570249.0	1464499.0	1811219.0	1196658.0	1438927.0	1532165.0	1409039.0	1149806.0	1117395.0	1754778.0	1784868.0	1717801.0	1200143.0	2712568.0	1030111.0	3033731.0	1151461.0	1541529.0	1352880.0	1403595.0	1514277.0	1352717.0	2140330.0	1204277.0	1789313.0	1723673.0	1247717.0	1511403.0	1251995.0	1348802.0	1087042.0	974875.0	1489895.0	1430300.0	1375212.0	1575555.0	1391569.0	867010.0	1213682.0	1187602.0	1621103.0	1208411.0	Unclassified; Genetic Information Processing
Glycan Biosynthesis and Metabolism	1037403.0	698548.0	859082.0	1043428.0	1065623.0	1473831.0	1145520.0	1080545.0	695305.0	703338.0	1151899.0	1212199.0	1538883.0	1136256.0	1070369.0	1043508.0	1074794.0	1789168.0	1182059.0	981006.0	1260900.0	826541.0	1046583.0	976921.0	1079828.0	931396.0	990873.0	1269465.0	1185938.0	1195711.0	772129.0	2670928.0	806540.0	2445779.0	821449.0	1099106.0	865169.0	1250113.0	1386045.0	1064357.0	1738158.0	931688.0	1268539.0	1090369.0	1170595.0	1149178.0	895120.0	1178681.0	901238.0	811047.0	1088115.0	1009582.0	989661.0	1328853.0	886265.0	816214.0	1009788.0	956519.0	1231992.0	754058.0	Metabolism; Glycan Biosynthesis and Metabolism
Immune System	36808.0	30477.0	33122.0	39566.0	44950.0	64885.0	47509.0	43689.0	33109.0	31186.0	51155.0	49570.0	86933.0	43740.0	49491.0	42939.0	54467.0	86281.0	50235.0	44073.0	57168.0	27299.0	42826.0	51234.0	44374.0	40189.0	14697.0	59225.0	39731.0	57865.0	14485.0	50005.0	32440.0	55452.0	15275.0	43108.0	38169.0	36046.0	45965.0	44768.0	48959.0	32333.0	45303.0	55301.0	25853.0	39142.0	32663.0	32390.0	21733.0	28673.0	41088.0	29967.0	43718.0	58204.0	35871.0	15909.0	33231.0	38359.0	35779.0	21674.0	Organismal Systems; Immune System
Immune System Diseases	19651.0	15116.0	20867.0	15653.0	22215.0	33018.0	26395.0	26845.0	12308.0	18236.0	30984.0	26659.0	42891.0	22465.0	18220.0	21046.0	27273.0	43779.0	28281.0	19848.0	31264.0	19365.0	12940.0	19480.0	17925.0	19939.0	40645.0	36849.0	29595.0	7306.0	23627.0	46916.0	12335.0	45913.0	19848.0	25816.0	19823.0	21858.0	28677.0	32402.0	32894.0	17726.0	43340.0	26849.0	23393.0	36312.0	14762.0	23584.0	25896.0	19166.0	24193.0	27708.0	19112.0	30871.0	28485.0	15071.0	16965.0	17886.0	31098.0	20818.0	Human Diseases; Immune System Diseases
Infectious Diseases	146170.0	133527.0	145242.0	157148.0	192379.0	244322.0	195191.0	200396.0	125819.0	129533.0	214852.0	186500.0	324435.0	165804.0	197028.0	173286.0	218088.0	343320.0	239178.0	213157.0	238534.0	164024.0	192489.0	194136.0	189390.0	164502.0	198860.0	258627.0	273790.0	205505.0	173085.0	588665.0	131592.0	583935.0	182952.0	220993.0	181854.0	218709.0	276670.0	207421.0	415828.0	192659.0	281937.0	229699.0	263150.0	241818.0	157912.0	167885.0	164764.0	160332.0	228866.0	189562.0	183285.0	234361.0	173767.0	191455.0	201709.0	167652.0	260993.0	159116.0	Human Diseases; Infectious Diseases
Lipid Metabolism	1062329.0	1062065.0	1105714.0	1323931.0	1481292.0	1803648.0	1585320.0	1542567.0	985032.0	1002369.0	1607089.0	1450490.0	2557631.0	1187713.0	1563012.0	1386727.0	1710787.0	2626170.0	1754076.0	1498057.0	1942670.0	1222991.0	1525339.0	1597241.0	1506692.0	1316851.0	1259356.0	1972797.0	1881455.0	2004172.0	1177708.0	3200061.0	1049350.0	3418490.0	1122435.0	1665707.0	1446543.0	1593549.0	1664354.0	1560353.0	2353774.0	1226794.0	1945019.0	1845610.0	1258387.0	1646886.0	1278020.0	1325668.0	1139421.0	1065600.0	1563048.0	1549904.0	1445774.0	1812668.0	1351815.0	866556.0	1246279.0	1330366.0	1751343.0	1205437.0	Metabolism; Lipid Metabolism
Membrane Transport	4504072.0	5094081.0	4834587.0	5646533.0	6793106.0	8386607.0	6999330.0	7558788.0	4767704.0	4777434.0	7968127.0	6541851.0	11856194.0	5894897.0	7458697.0	6378941.0	8577913.0	13297325.0	8651518.0	8657759.0	9900951.0	6239713.0	7185404.0	7889196.0	7049942.0	5465362.0	7798932.0	10270837.0	10388929.0	6811203.0	6394318.0	19436546.0	4898676.0	22119111.0	5947944.0	8972943.0	6636375.0	6069537.0	7329265.0	7315224.0	13447153.0	6157741.0	9852674.0	9090371.0	6014903.0	9801053.0	6210701.0	7437463.0	6221002.0	4953349.0	8194456.0	7199195.0	6621975.0	8241238.0	7421363.0	4133884.0	5923816.0	5591733.0	10092614.0	6183262.0	Environmental Information Processing; Membrane Transport
Metabolic Diseases	40076.0	37624.0	40555.0	51643.0	55394.0	66022.0	55268.0	58454.0	35107.0	35151.0	59730.0	57741.0	91440.0	53567.0	55023.0	50826.0	58455.0	90419.0	60912.0	49200.0	59955.0	44794.0	55859.0	54611.0	57176.0	49434.0	65603.0	71490.0	63065.0	79650.0	51283.0	76450.0	40998.0	81438.0	44674.0	57781.0	55289.0	46446.0	59256.0	60067.0	67053.0	45990.0	62915.0	85808.0	45314.0	57666.0	51006.0	49063.0	54649.0	39152.0	56410.0	59483.0	52370.0	67762.0	51986.0	28973.0	45570.0	52473.0	58735.0	47177.0	Human Diseases; Metabolic Diseases
Metabolism	876359.0	874207.0	927269.0	1137627.0	1229604.0	1551578.0	1314276.0	1300455.0	861527.0	829718.0	1397955.0	1212616.0	2203790.0	990246.0	1324455.0	1199863.0	1448900.0	2286249.0	1552529.0	1485391.0	1717187.0	1030215.0	1315746.0	1362130.0	1267005.0	1072279.0	1104434.0	1654381.0	1653629.0	1437940.0	987933.0	3628087.0	912546.0	3840166.0	849617.0	1485864.0	1172061.0	1266051.0	1495157.0	1364415.0	2378538.0	1098130.0	1760025.0	1493983.0	1138480.0	1553787.0	1063002.0	1106657.0	993498.0	904338.0	1385123.0	1249607.0	1231746.0	1582493.0	1138755.0	798989.0	1116365.0	1071832.0	1657042.0	981771.0	Unclassified; Metabolism
Metabolism of Cofactors and Vitamins	1899557.0	1636576.0	1735570.0	1930752.0	2268836.0	2993917.0	2325384.0	2471665.0	1522207.0	1557774.0	2495640.0	2360407.0	3579990.0	2259336.0	2481663.0	2067768.0	2624989.0	4092218.0	2428473.0	2265343.0	2976320.0	1950832.0	2056689.0	2496598.0	2170371.0	1901472.0	2034310.0	3126709.0	2836319.0	2240474.0	1843930.0	4364890.0	1531331.0	4735215.0	1596639.0	2603700.0	2085958.0	1985598.0	2311199.0	2091476.0	3346469.0	1866436.0	2628335.0	2440643.0	1766374.0	2483500.0	1864457.0	2339553.0	1787838.0	1599030.0	2399378.0	2205857.0	2158742.0	2587874.0	2143349.0	1199643.0	1838807.0	1900398.0	2580212.0	1812273.0	Metabolism; Metabolism of Cofactors and Vitamins
Metabolism of Other Amino Acids	584378.0	534565.0	560495.0	653759.0	797702.0	1082133.0	801414.0	903378.0	524409.0	596053.0	932746.0	759900.0	1287852.0	714597.0	834948.0	714408.0	949039.0	1583420.0	896060.0	824814.0	934244.0	682043.0	709080.0	772453.0	790010.0	662630.0	938723.0	1194067.0	1038575.0	732373.0	726694.0	1946720.0	525059.0	2031100.0	615809.0	895917.0	707324.0	729713.0	863983.0	761099.0	1340081.0	673566.0	926413.0	960806.0	681098.0	945311.0	644957.0	789267.0	735539.0	561540.0	922030.0	810809.0	739306.0	942453.0	728302.0	470008.0	672198.0	664285.0	1033419.0	670833.0	Metabolism; Metabolism of Other Amino Acids
Metabolism of Terpenoids and Polyketides	673037.0	586124.0	651086.0	753009.0	798462.0	1030430.0	878089.0	851294.0	559102.0	511806.0	899633.0	829304.0	1287468.0	740351.0	839779.0	781008.0	905667.0	1329267.0	924567.0	837178.0	1053873.0	692258.0	832972.0	882819.0	831343.0	714283.0	733024.0	1025188.0	1009872.0	1026280.0	693968.0	1631124.0	581516.0	1778536.0	612078.0	904757.0	801709.0	825505.0	858958.0	829523.0	1196178.0	686202.0	996911.0	1049516.0	661094.0	923516.0	719800.0	755135.0	669588.0	571022.0	844069.0	847987.0	795243.0	958208.0	772805.0	438872.0	680311.0	737110.0	954165.0	695822.0	Metabolism; Metabolism of Terpenoids and Polyketides
Nervous System	42397.0	40045.0	38897.0	53261.0	58224.0	69748.0	62061.0	62164.0	37767.0	36363.0	58017.0	54176.0	93960.0	39494.0	58938.0	55144.0	61789.0	94534.0	58957.0	53384.0	70418.0	46260.0	53987.0	65313.0	56699.0	48839.0	51279.0	74378.0	64672.0	65570.0	47351.0	74589.0	44004.0	80212.0	39862.0	62515.0	55439.0	47492.0	52602.0	57239.0	58915.0	42515.0	54664.0	67621.0	31307.0	51913.0	49231.0	41788.0	47156.0	37798.0	58994.0	56274.0	55402.0	71508.0	45764.0	17214.0	41100.0	50427.0	56619.0	47801.0	Organismal Systems; Nervous System
Neurodegenerative Diseases	26736.0	26518.0	34404.0	37963.0	33841.0	41294.0	40196.0	36652.0	26149.0	20228.0	46572.0	37050.0	53539.0	27925.0	37079.0	40828.0	43462.0	59794.0	54366.0	52564.0	62683.0	35240.0	46943.0	43932.0	38430.0	37397.0	37983.0	39703.0	67693.0	44506.0	33124.0	186832.0	26175.0	185933.0	38146.0	52927.0	35289.0	74949.0	62688.0	45380.0	113053.0	43048.0	97979.0	40762.0	65183.0	65224.0	37178.0	43649.0	31617.0	33703.0	44624.0	48149.0	37253.0	42023.0	50231.0	51214.0	46618.0	34640.0	70916.0	33564.0	Human Diseases; Neurodegenerative Diseases
Nucleotide Metabolism	1764600.0	1546340.0	1693049.0	1880191.0	2051432.0	2676026.0	2129321.0	2284977.0	1419100.0	1347108.0	2340005.0	2047155.0	3221442.0	1871265.0	2205138.0	1961320.0	2338739.0	3495594.0	2279366.0	2026537.0	2721064.0	1884923.0	2099701.0	2268629.0	2163426.0	1773627.0	2126811.0	2740461.0	2646732.0	2529922.0	1983975.0	3223689.0	1523222.0	3726657.0	1737057.0	2365964.0	2087215.0	1780162.0	2013233.0	2052616.0	2675551.0	1731032.0	2625398.0	2771030.0	1556783.0	2255966.0	1950519.0	2082617.0	1849117.0	1427545.0	2184687.0	2337529.0	2003667.0	2393163.0	2063196.0	985274.0	1695215.0	1872903.0	2386783.0	1899329.0	Metabolism; Nucleotide Metabolism
Poorly Characterized	1900338.0	1779677.0	1857772.0	2216324.0	2490033.0	3208357.0	2619715.0	2653465.0	1726237.0	1699840.0	2816504.0	2518715.0	4248174.0	2228714.0	2650010.0	2349265.0	2915739.0	4582892.0	2958170.0	2723788.0	3282880.0	2078235.0	2562302.0	2720154.0	2567373.0	2134185.0	2375105.0	3421844.0	3238435.0	2893733.0	2031408.0	5999825.0	1803296.0	6360963.0	1963008.0	2921549.0	2344631.0	2517181.0	2967511.0	2627705.0	4338745.0	2219684.0	3224222.0	3102940.0	2409568.0	2975579.0	2169950.0	2447685.0	2080150.0	1852663.0	2773338.0	2473586.0	2423501.0	3067108.0	2359301.0	1691168.0	2239022.0	2188594.0	3115327.0	2012330.0	Unclassified; Poorly Characterized
Replication and Repair	3801404.0	3439322.0	3705007.0	4163587.0	4560425.0	5952641.0	4734238.0	4994656.0	3180837.0	3047517.0	5147094.0	4709006.0	7735903.0	4332634.0	4925446.0	4267709.0	5277470.0	8034033.0	5082631.0	4352083.0	5966979.0	3970931.0	4639999.0	5017637.0	4794853.0	3979360.0	4395535.0	6158872.0	5649441.0	5921155.0	4043145.0	6484733.0	3340458.0	7618543.0	3686749.0	5144375.0	4628624.0	3990951.0	4567016.0	4728401.0	5709678.0	3746703.0	5785911.0	5975244.0	3281312.0	4787644.0	4241267.0	4503795.0	3969781.0	3137099.0	4792795.0	5022743.0	4540002.0	5508701.0	4507648.0	2107834.0	3697005.0	4189111.0	4996751.0	4002711.0	Genetic Information Processing; Replication and Repair
Sensory System	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	3.0	1.0	1.0	3.0	3.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	4.0	3.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	3.0	3.0	Organismal Systems; Sensory System
Signal Transduction	580802.0	597003.0	512564.0	640697.0	833181.0	1282738.0	886321.0	944716.0	638420.0	799684.0	1053506.0	809063.0	1709737.0	775763.0	991829.0	722137.0	1213795.0	2196722.0	1048097.0	936412.0	1047042.0	637682.0	849394.0	807901.0	874314.0	653065.0	548903.0	1475060.0	1080111.0	836462.0	564306.0	2654164.0	483816.0	2728477.0	579559.0	949290.0	688080.0	933875.0	1211970.0	816649.0	1920513.0	766714.0	1099243.0	749974.0	1044792.0	986899.0	609922.0	833965.0	548852.0	666128.0	1056523.0	732306.0	882658.0	1081481.0	700160.0	817749.0	859129.0	651086.0	1158424.0	580926.0	Environmental Information Processing; Signal Transduction
Signaling Molecules and Interaction	62046.0	57435.0	65839.0	75779.0	74174.0	89867.0	92325.0	90559.0	49385.0	45119.0	91083.0	79655.0	85093.0	66395.0	65796.0	90070.0	76211.0	106688.0	86499.0	72602.0	92399.0	79603.0	78984.0	69013.0	80884.0	68504.0	113040.0	88958.0	117477.0	97028.0	100346.0	142876.0	67055.0	149573.0	105987.0	88285.0	80424.0	87230.0	69268.0	77707.0	91947.0	64060.0	123486.0	129956.0	58872.0	96399.0	78652.0	74002.0	89664.0	52313.0	81336.0	114897.0	74358.0	88672.0	98561.0	29267.0	61366.0	75109.0	107691.0	97564.0	Environmental Information Processing; Signaling Molecules and Interaction
Transcription	1105735.0	1154457.0	1153496.0	1374426.0	1541682.0	1948113.0	1597099.0	1617951.0	1101643.0	1064531.0	1717338.0	1431121.0	2600510.0	1208222.0	1690445.0	1444193.0	1872886.0	2880980.0	1856596.0	1732336.0	2168767.0	1294705.0	1652500.0	1756599.0	1643379.0	1292273.0	1366151.0	2171407.0	2004980.0	1943105.0	1216635.0	3517097.0	1135911.0	3966609.0	1098083.0	1854810.0	1497334.0	1350557.0	1564644.0	1535164.0	2570033.0	1305544.0	2076157.0	1932565.0	1149724.0	1837848.0	1382486.0	1365306.0	1230623.0	1083518.0	1756878.0	1541488.0	1527211.0	1822817.0	1458257.0	764275.0	1278085.0	1345580.0	1946636.0	1233449.0	Genetic Information Processing; Transcription
