ID	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC1	HC21	HC22	HC23	HC24	HC25	HC2	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient3	Patient40	Patient44	Patient47	Patient49	Patient4	Patient50	Patient51	Patient52	Patient5	Patient6	Patient7	Patient8	Patient9	KEGG_Pathways
Cellular Processes	1374494.0	1214939.0	934604.0	1053652.0	1663700.0	3092980.0	1746998.0	2031416.0	1295224.0	1995679.0	2221151.0	1966370.0	4680025.0	2180452.0	2174086.0	1329617.0	2768245.0	5437960.0	1873103.0	1233667.0	1507467.0	1088729.0	1248913.0	1324303.0	1595446.0	1284858.0	867031.0	3498328.0	1596204.0	1258356.0	884684.0	1781894.0	805959.0	1977540.0	902464.0	1499562.0	1317388.0	1308849.0	2287138.0	1882553.0	2242786.0	1161254.0	1523571.0	1034702.0	1403638.0	1283593.0	1011396.0	1893008.0	1028705.0	1226388.0	1841429.0	1153510.0	1959883.0	2538388.0	1397098.0	1070704.0	1409916.0	1187746.0	1610224.0	1059218.0	Cellular Processes
Environmental Information Processing	5146920.0	5748519.0	5412990.0	6363009.0	7700461.0	9759212.0	7977976.0	8594063.0	5455509.0	5622237.0	9112716.0	7430569.0	13651024.0	6737055.0	8516322.0	7191148.0	9867919.0	15600735.0	9786114.0	9666773.0	11040392.0	6956998.0	8113782.0	8766110.0	8005140.0	6186931.0	8460875.0	11834855.0	11586517.0	7744693.0	7058970.0	22233586.0	5449547.0	24997161.0	6633490.0	10010518.0	7404879.0	7090642.0	8610503.0	8209580.0	15459613.0	6988515.0	11075403.0	9970301.0	7118567.0	10884351.0	6899275.0	8345430.0	6859518.0	5671790.0	9332315.0	8046398.0	7578991.0	9411391.0	8220084.0	4980900.0	6844311.0	6317928.0	11358729.0	6861752.0	Environmental Information Processing
Genetic Information Processing	8445365.0	7738063.0	8218919.0	9305930.0	10327232.0	13449594.0	10702266.0	11247948.0	7216062.0	6993879.0	11621543.0	10410413.0	17550755.0	9425988.0	11235297.0	9655134.0	12041173.0	18453830.0	11630153.0	10219589.0	13576768.0	8947083.0	10436692.0	11411715.0	10785108.0	8947820.0	9685545.0	14092461.0	12876938.0	13001791.0	8923067.0	16139695.0	7523164.0	18779400.0	8079170.0	11695678.0	10358666.0	9045834.0	10284055.0	10532424.0	13610789.0	8493605.0	12760872.0	13415635.0	7373048.0	10964382.0	9422582.0	9941184.0	8750877.0	7095676.0	10918054.0	10993179.0	10235254.0	12411419.0	9989746.0	4762226.0	8357961.0	9327316.0	11539807.0	8907619.0	Genetic Information Processing
Human Diseases	274514.0	248204.0	277521.0	305669.0	351962.0	450280.0	369309.0	367098.0	235889.0	235948.0	405796.0	358893.0	601040.0	314508.0	361262.0	334278.0	405535.0	625539.0	438876.0	388854.0	456128.0	295175.0	358314.0	366622.0	350618.0	315095.0	360906.0	465980.0	483290.0	402257.0	299713.0	1005859.0	248074.0	1005119.0	308961.0	406705.0	333915.0	416720.0	489502.0	393683.0	710315.0	341575.0	543002.0	438335.0	443005.0	451806.0	298601.0	334582.0	302139.0	286947.0	402609.0	359341.0	340175.0	433679.0	340585.0	322627.0	356763.0	315431.0	468143.0	286630.0	Human Diseases
Metabolism	18653668.0	17613065.0	18590777.0	22119086.0	24848835.0	31700073.0	25796426.0	26879853.0	16724239.0	16857230.0	27741453.0	25253930.0	41175671.0	22319185.0	26352060.0	23245635.0	28534878.0	44673240.0	28258723.0	25612008.0	32301553.0	21206752.0	24563962.0	26499253.0	25353523.0	21488651.0	23606147.0	33803873.0	31470161.0	29204235.0	21028179.0	50667243.0	17621549.0	54907872.0	18914204.0	27994189.0	23888316.0	23053998.0	26035093.0	25163176.0	37332357.0	20486742.0	30402216.0	31413781.0	19330536.0	28270417.0	21458041.0	23544948.0	20543940.0	17225033.0	26565848.0	25834145.0	23929573.0	29875743.0	23598338.0	12858840.0	20379716.0	21977908.0	29539612.0	20785505.0	Metabolism
None	93422.0	80763.0	71067.0	92554.0	110619.0	142823.0	111754.0	99581.0	78808.0	75116.0	106500.0	107520.0	205353.0	93389.0	133807.0	84126.0	130939.0	207368.0	113070.0	98515.0	169256.0	76117.0	98811.0	133617.0	108427.0	92441.0	51531.0	149248.0	103571.0	111481.0	38193.0	146973.0	74758.0	173906.0	37770.0	120591.0	91249.0	89093.0	107234.0	100903.0	142817.0	85892.0	85449.0	63242.0	69056.0	94679.0	87789.0	107163.0	62246.0	72808.0	110217.0	60898.0	102564.0	130635.0	75812.0	51687.0	86473.0	88387.0	90464.0	49468.0	None
Organismal Systems	316535.0	273754.0	270940.0	357299.0	396282.0	501595.0	415372.0	411628.0	257422.0	265715.0	409885.0	404962.0	698848.0	341252.0	406383.0	364213.0	430301.0	672394.0	416517.0	355054.0	436994.0	314510.0	396418.0	393192.0	407553.0	354564.0	325942.0	511548.0	434348.0	550676.0	318743.0	538697.0	282090.0	583653.0	277726.0	385451.0	393789.0	345796.0	391212.0	418296.0	446528.0	293964.0	386650.0	522393.0	237365.0	363452.0	340847.0	331162.0	312583.0	261022.0	382024.0	404663.0	384256.0	503622.0	315287.0	148931.0	296943.0	367002.0	388220.0	318156.0	Organismal Systems
Unclassified	5546892.0	5197228.0	5423560.0	6473096.0	7191734.0	9271506.0	7522604.0	7585612.0	5038023.0	4953539.0	8019791.0	7226186.0	12203914.0	6374707.0	7791065.0	6784148.0	8464727.0	13309040.0	8577138.0	7918580.0	9704397.0	5982228.0	7486330.0	7945314.0	7336170.0	6168697.0	6073051.0	9765300.0	9410827.0	8541454.0	5652377.0	18169369.0	5177953.0	19208681.0	5404918.0	8397084.0	6743122.0	7341663.0	8587657.0	7359938.0	12932566.0	6393209.0	9617426.0	8425485.0	6935280.0	8498511.0	6193138.0	6930646.0	5616186.0	5331726.0	8014139.0	7130909.0	7077141.0	8750716.0	6758848.0	4930887.0	6522546.0	6251666.0	8983005.0	5630672.0	Unclassified
